date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:12:33	13203/13203	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/events/css/agency.css	C:/My%20Web%20Sites/dequinox/www.dequinox.in/events/css/agency.css	(from http://www.dequinox.in/events/index.html)
00:12:39	21984/21984	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/events/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/dequinox/www.dequinox.in/events/font-awesome/css/font-awesome.min.css	(from http://www.dequinox.in/events/index.html)
00:12:54	26086/26086	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/events/img/portfolio/rap1.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/events/img/portfolio/rap1.jpg	(from http://www.dequinox.in/events/index.html)
00:12:56	127728/127728	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/events/img/portfolio/face1.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/events/img/portfolio/face1.jpg	(from http://www.dequinox.in/events/index.html)
00:12:59	19945/19945	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/events/img/portfolio/apna.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/events/img/portfolio/apna.jpg	(from http://www.dequinox.in/events/index.html)
00:13:02	29379/29379	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/events/img/portfolio/air.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/events/img/portfolio/air.jpg	(from http://www.dequinox.in/events/index.html)
00:13:04	37290/37290	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/events/img/portfolio/beg.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/events/img/portfolio/beg.jpg	(from http://www.dequinox.in/events/index.html)
00:13:04	27509/27509	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/events/img/portfolio/quiz.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/events/img/portfolio/quiz.jpg	(from http://www.dequinox.in/events/index.html)
00:13:08	21174/21174	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/events/img/portfolio/karaoke.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/events/img/portfolio/karaoke.jpg	(from http://www.dequinox.in/events/index.html)
00:13:12	40405/40405	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/events/img/portfolio/gully.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/events/img/portfolio/gully.jpg	(from http://www.dequinox.in/events/index.html)
00:13:14	36763/36763	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/events/img/portfolio/fu.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/events/img/portfolio/fu.jpg	(from http://www.dequinox.in/events/index.html)
00:13:16	96881/96881	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/events/img/portfolio/selfie1.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/events/img/portfolio/selfie1.jpg	(from http://www.dequinox.in/events/index.html)
00:13:36	132435/132435	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/events/img/portfolio/rap2.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/events/img/portfolio/rap2.jpg	(from http://www.dequinox.in/events/index.html)
00:13:53	2228381/2228381	---M--	200	added ('OK')	image/gif	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/images/backgrnd.gif	C:/My%20Web%20Sites/dequinox/www.dequinox.in/images/backgrnd.gif	(from http://www.dequinox.in/css/style.css)
00:13:55	80126/80126	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/events/img/portfolio/air2.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/events/img/portfolio/air2.jpg	(from http://www.dequinox.in/events/index.html)
00:14:11	410878/410878	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/events/img/portfolio/face.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/events/img/portfolio/face.jpg	(from http://www.dequinox.in/events/index.html)
00:14:29	73126/73126	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/events/img/portfolio/s.png	C:/My%20Web%20Sites/dequinox/www.dequinox.in/events/img/portfolio/s.png	(from http://www.dequinox.in/events/index.html)
00:14:40	29929/29929	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/events/img/portfolio/k.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/events/img/portfolio/k.jpg	(from http://www.dequinox.in/events/index.html)
00:14:51	315031/315031	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/events/img/portfolio/quiz1.png	C:/My%20Web%20Sites/dequinox/www.dequinox.in/events/img/portfolio/quiz1.png	(from http://www.dequinox.in/events/index.html)
00:15:01	443743/443743	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/events/img/portfolio/st.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/events/img/portfolio/st.jpg	(from http://www.dequinox.in/events/index.html)
